"country","mim15-19kc","mim20-24kc","mim25-29kc","mim30-34kc","mim35-39kc","mim40-44kc","mim45-49kc","mom15-19kc","mom20-24kc","mom25-29kc","mom30-34kc","mom35-39kc","mom40-44kc","mom45-49kc","mum15-19kc","mum20-24kc","mum25-29kc","mum30-34kc","mum35-39kc","mum40-44kc","mum45-49kc"
"Afghanistan",61.6212814191529,89.5814695397592,154.636307363638,238.246000930101,322.4668785093,388.59011368813,433.379618384944,64.5997701605013,106.606060814486,200.310775871401,321.674649181834,444.027806021311,538.520396937987,599.643897142546,64.5997701605013,106.127218451387,193.577258749817,303.181578919362,410.46947794739,490.886400656635,541.94950437031
"Albania",8.22253468824905,9.78446976985404,14.9994597815199,23.6846279813062,36.3441132994985,52.4977341988889,70.512082867923,8.69738350231952,12.0980362889583,19.7122755022674,30.8676144733299,47.7637639692051,71.0648450367789,99.3130983188187,8.69738350231952,12.0570927377444,19.0759125054448,28.961867448722,43.2812233287392,61.7993917789407,83.0180490185697
"Algeria",23.4170722496834,27.3783518256234,36.8396835987027,50.9705340979506,68.7016367851145,91.6167132565495,121.674138640042,23.7701145416889,29.2948224611804,41.2974181734519,59.5198223842936,84.2947751359187,119.340221414943,168.759045884069,23.7701145416889,29.2649529317697,40.6512745779351,57.3801457613515,78.9640377185526,107.704606669569,146.099394616699
"Angola",76.8153826213937,133.919758095357,228.268594937691,335.627325611968,427.196808155937,488.206586431837,514.983090642448,76.8153826213937,160.721075497085,295.827084881854,449.355098042406,577.162759886861,656.824370677964,688.046112860165,76.8153826213937,159.908028357726,285.924059317956,426.10510695856,540.668487167384,610.360811738815,635.478432023429
"Antigua and Barbuda",6.17610324797046,7.94375604083089,11.5219652051681,16.8011872183755,23.5981742319957,32.3034772830043,43.8551507054783,6.50484885344653,9.46387889553047,14.6151128632058,22.0207316940248,32.0173526107143,45.5844784792828,63.9414820682552,6.50484885344653,9.41310931936776,14.0165371326393,20.2762325831973,27.8345525080426,37.0127483216916,48.7734796622311
"Argentina",11.8689511065278,14.8887413819515,20.356614868408,27.7649015733497,37.2755297077788,47.9761658711517,59.5273263676864,12.1529356834811,16.326640413787,23.5749690508245,33.6449879300359,47.8620192299959,66.4872073714262,89.60906851274,12.1529356834811,16.2760517522772,22.936929142292,31.6900151748004,42.8697680610186,55.496125635188,69.1805660087277
"Armenia",11.8317030106695,15.2080625018985,24.835453555276,38.8819416550982,55.2122652775041,76.0347645423462,95.7422145767588,12.1789858402578,16.9811412393738,29.0915074369092,46.0465689333355,66.5949526372886,95.8118230339528,126.809436516942,12.1789858402578,16.9479297330827,28.4939403206605,44.1328874038762,62.0683869907616,86.5123883862031,111.253740700325
"Aruba",14.6950024997785,17.0557260398487,22.2601845098085,29.246379781265,35.4825485721868,39.3521895961632,42.5286898482012,15.0073120608832,18.5448442058803,25.5505471835135,35.182912980671,45.0970537376571,53.7419487849149,63.4181628273047,15.0073120608832,18.4985951902855,24.9134649500529,33.2863233635472,40.8926938356359,45.7970651901597,49.8053571461149
"Australia",3.37713853948345,3.81347865345197,4.84600450553734,6.53263322995847,8.87355683754086,11.2747592188342,13.7508465101751,3.45197885627024,4.17449379359594,5.61480376943941,7.93164734922497,11.5061878036018,16.1983121423411,22.6033663995057,3.45197885627024,4.16362931149547,5.46393205664519,7.50132907961181,10.3750277494723,13.4316597606483,16.5830660664593
"Austria",3.32958985787206,3.56023344771689,4.28040188958263,5.60356913871228,7.29188461190751,9.30026771385247,11.885257065693,3.39716836452754,3.88418504502264,4.96386793252937,6.87546468928368,9.68502558741909,13.9686114806396,20.5221981835949,3.39716836452754,3.87620141112379,4.84166061586391,6.48232773126528,8.58652869338457,11.107101767181,14.2342216564283
"Azerbaijan",27.3063481434267,37.9521535099199,57.0849347079123,79.4637965908163,107.109914048388,142.223299913043,181.639386369811,27.9204688440551,40.9000156028462,64.6508950921455,94.1795560381108,132.661674707251,181.847345752455,238.591453063773,27.9204688440551,40.8257616754583,63.4894288661165,90.6715757260782,125.390886652876,168.881595029255,218.16119236506
"Bahamas",6.9625444689173,8.9828764916887,13.0810427044812,17.8517882879765,23.8503626499948,31.6681615225871,40.3329423379432,7.13182023020139,9.91605704809446,15.6750980952849,23.2205774495896,34.6617056487384,52.4011841421856,76.1774323714535,7.13182023020139,9.87837827928374,14.9933116925127,20.8554731492342,28.1380715315487,37.4945240607651,47.9480143160657
"Bahrain",6.52783995865786,7.66807407169635,10.2932926985099,14.3908544709668,20.2837548085321,27.9705913905518,38.7687601470594,6.71393562935667,8.63859608599717,12.7505117923342,19.1924412277657,28.6726794540612,41.9064432425472,61.6052384963983,6.71393562935667,8.62094785373777,12.3704947320789,17.8660886229373,25.3582472934826,34.7352816839315,47.4664499981263
"Bangladesh",33.3466345538397,49.0691412499011,75.2777886458859,110.538110601756,155.419737772656,211.461406857379,276.042930015522,33.3466345538397,55.9429309367553,93.8322540157358,148.002489651414,220.151529398937,310.561280708214,411.001820215729,33.3466345538397,55.7072909273419,90.4062399596228,137.771051192138,199.22766826932,275.980205864439,362.645306921982
"Barbados",11.2193883488221,13.2874808291988,16.8394713679714,20.7926377135497,24.2085243808131,26.8226822298537,29.2625010310854,11.5547893235359,14.9131058313983,20.3193052764954,26.6614472581639,33.3076490448987,40.3993968053368,48.9655078334018,11.5547893235359,14.8524671753069,19.5692490185449,24.5701848747839,28.8630408150185,32.1115353034263,35.1195940624969
