"country","mim20kc","mim45kc","mom45kc","mum20kc","mum45kc"
"Afghanistan",252.654705000745,439.495348081768,607.050251213665,318.599159920251,548.25088654578
"Albania",31.9547066147084,78.1513434074151,110.96164033678,38.0548695660638,92.1445412522613
"Algeria",58.6443724539841,130.160133657324,182.675775939825,67.1678857919934,156.912876723083
"Angola",328.133303645432,511.550447715753,684.576205435886,410.992608232652,630.927977503192
"Antigua and Barbuda",19.7900795282067,46.5399409547091,68.3653513875056,23.2107964389798,51.5096229857285
"Argentina",31.3850016054338,61.9521258810046,94.8054032044591,35.9078806367753,72.0203587467889
"Armenia",45.1675297726748,99.1913889529717,132.404959635399,51.2899176339463,115.379896554211
"Aruba",29.7123157623706,43.2870493995283,65.8074871376747,33.9447129263631,50.7234159886392
"Australia",7.45062598609409,14.3557168981907,24.3930963251767,8.66529418058399,17.3286611441507
"Austria",6.31908244846655,12.6217484060376,22.4039191822664,7.36894726532269,15.0885010645767
"Azerbaijan",90.3944725817071,187.974013096192,248.913202156119,104.755875092578,226.797105959599
"Bahamas",20.3018274874136,42.1123216026365,81.9471758875731,23.7469032142867,50.1180748135868
"Bahrain",17.2758079644356,41.8033671285632,67.0844236571718,21.2453892834848,50.8863169506988
"Bangladesh",114.522717719624,261.420075228496,392.13775400514,143.942171711727,343.15301824591
"Barbados",21.0324763781912,30.0538878569446,51.5530815621561,24.8099845165059,36.069122437745
"Belarus",12.7367582460984,29.847086949967,55.8956303061964,15.4732392744329,36.1368305070093
"Belgium",6.85227787831292,13.7443908693005,23.4549275722669,8.16864023497735,16.4836745148927
"Belize",47.3628703389084,105.109805456854,183.606574113549,54.4658421019331,124.76772563528
"Benin",237.769438365408,386.803601547068,613.394010903919,332.221948775556,536.213188876144
"Bhutan",99.0816153956371,227.160683506092,387.491992387075,128.03971188143,325.72777000978
"Bolivia",113.411887938407,248.787071324716,436.21975444565,172.771987188825,372.165883039438
"Bosnia & Herzegovina",15.1763337556914,32.1369600186443,48.1515647291441,17.268755616794,37.3909939005783
"Botswana",99.1152993519338,125.192520495609,231.751379641062,128.178234615863,173.256726624781
"Brazil",46.4507901790156,104.868176390703,156.454180681974,54.2729935818365,123.626338229584
"Brunei Darussalam",17.2367337619632,29.2684997607849,56.5698218219514,20.2826298337759,35.7859221525895
"Bulgaria",18.1118647230946,30.4524334759523,55.7122558152873,21.4670415170148,38.0643052969176
"Burkina Faso",244.686545405328,400.189847518251,657.169301747841,359.830778573664,592.951817607329
"Burundi",213.98556544744,388.724111381618,599.123400155623,292.53879469583,526.501543429076
