"country","mom45ic","mum20ic","mum45ic","mim20ic","mim45ic"
"Bangladesh",386.943264649343,121.050902677383,354.811055122091,97.1230019137623,270.079555390116
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"Indonesia",171.884807566287,57.002767484655,148.95448611849,47.9569063374127,118.054409289654
"India",330.883813820479,134.435584852505,298.957687295762,108.272169976664,227.522233638979
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"Kyrgyzstan",243.517310124568,83.7238107142339,228.397132038192,74.0388722003931,196.153493738433
"Cambodia",409.421191694472,116.356707462803,340.34172239381,100.724447841503,269.675351461326
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"Myanmar",253.699009447228,89.6074874241522,213.79203112739,71.8265360532759,163.945897582691
NA,NA,NA,NA,NA,NA
"Maldives",231.050636483074,22.3679791508792,209.300182321609,19.8647729583604,166.44334641278
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"Papua New Guinea",324.819675467884,152.853685168053,280.13239908805,123.895555903633,222.97803071165
"Philippines",180.242298280805,62.7225258869698,149.400506846775,49.9613342781077,114.451564279066
"Pakistan",443.396234721062,206.334062997837,420.452346583149,174.216118331316,348.707780489232
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"Tajikistan",354.596043283307,116.982473778197,328.315592122476,102.624980367057,258.845492108998
NA,NA,NA,NA,NA,NA
"Timor-Leste",492.666953707227,177.552088848677,458.852162709569,146.845564865373,367.915312667966
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"Albania",87.6848672582262,21.7117281167902,76.8143398816139,17.7555609695373,65.2429099841363
"Armenia",105.839219068212,35.5983699712017,100.063025451552,31.3628639696775,86.1117621185223
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"Turkey",236.07888988845,48.7419097962173,192.929642848614,37.183737899596,156.82177453339
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"Colombia",106.192155793729,32.4126391522119,77.0973257533734,28.1513640274259,64.7744302563314
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"Dominican Republic",189.059203977913,73.9333035252975,164.810465713206,67.7587736352824,148.143947639821
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"Guatemala",300.962854029626,92.112814466548,258.289010750499,76.8579324848489,206.505435871698
NA,NA,NA,NA,NA,NA
"Honduras",285.996927544509,91.6252279424346,241.391854919392,66.800499071833,179.23818920476
"Haiti",409.917115168746,164.11797044668,344.526255134644,118.158636922673,254.454591564491
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"Peru",235.607960920094,50.7972405543639,204.297435692292,41.3070224673455,156.240570198949
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
