"country","mim20kc","mim45kc","mom45kc","mum20kc","mum45kc"
"Angola",316.940842966365,509.824768880388,667.512442519951,401.094258779073,630.232522444491
"Burkina Faso",232.276210302278,394.54983249081,635.613367185323,343.172205986355,586.625921006558
"Burundi",191.485495918102,383.013702687831,583.860354661295,264.43467101817,520.409361373181
"Benin",226.165639907579,380.327159468598,585.241859314216,319.003462040289,528.598899892389
"Democratic Republic of the Congo",263.936540884647,430.074823053591,632.320885388552,367.964004764128,579.980720442546
"Central African Republic",254.71657624539,321.694066737671,497.122298846538,360.872737138952,441.969482774747
"Congo",140.314648744503,227.047251893021,372.229634563234,185.09517678085,313.113385838975
"Cameroon",227.567871222392,365.242711177601,543.616129930676,308.288062584981,489.051589961526
"Eritrea",132.264117035926,287.464567960821,429.541310985937,163.361032316673,375.46769530927
"Ethiopia",168.888181620889,367.068612279608,555.718689815414,232.183478763862,497.906986407125
"Gabon",121.558986609624,232.350493018678,372.682371167476,160.518533655478,311.586481976081
"Ghana",120.257934002712,248.956231672683,423.422843840465,165.901184493975,352.667384247948
"Gambia",159.246127624381,304.716920202775,547.477125571824,232.095872908033,479.0172808591
"Guinea",218.525934665405,421.686413436481,624.595825844195,311.129559377414,576.065343598952
"Equatorial Guinea",235.975124099987,374.398809515695,550.127534562253,319.042544475187,500.588451400968
"Guinea-Bissau",218.274242860907,403.529921686759,590.522639200335,296.374921986355,538.402373499575
"Kenya",134.582637377041,249.89243669602,401.283007846692,177.13705414777,339.091053285863
"Liberia",208.252442851328,437.742521632476,617.49109186903,277.76771426608,576.913760333781
"Lesotho",137.376777524466,148.12356253082,263.141525163427,193.916564001516,209.815769473126
"Madagascar",134.450675228279,307.31021155768,483.282488182942,184.14616845097,414.445802601815
"Mali",290.072580333035,464.670030516685,687.361791574722,419.560580782037,649.109239468695
"Malawi",201.338548001644,355.536675480725,518.437001562062,271.289922404517,474.064095153001
"Mozambique",226.665264308353,372.074449136632,536.40028422664,303.077967871244,495.83204219237
"Namibia",90.6052529196377,138.519651784671,237.804325029581,117.726336896383,188.648056187469
"Niger",258.730080600015,473.005694729306,741.151821610058,440.19840045058,713.568841100787
"Nigeria",237.866628299602,403.660224388718,613.459928784175,334.126795013802,547.130500402608
"Rwanda",142.50946215772,390.886462030847,598.989205640637,184.108056668674,560.040262836719
"South Sudan",229.972568514756,395.177438427927,589.095981395528,318.66202211049,532.599345715485
"Sierra Leone",289.963872707554,417.137973634637,570.042202038943,376.169216257722,524.864449295855
"Senegal",128.752921057049,283.542363990149,511.808063847227,185.170330781257,456.840847686388
"Sao Tome and Principe",123.533244794614,291.738385101672,404.063375430718,148.461819990827,364.708281038329
"Eswatini",138.420281379037,149.059211457759,254.045239278043,187.950456042933,207.607721128698
"Chad",317.184245949604,439.368152998884,628.077888120254,447.23991030157,578.264182278829
"Togo",168.718549576985,301.228798019174,509.077836864868,235.451449522493,434.569861719243
"Tanzania",168.200101329026,321.040066906763,483.362824090169,222.308784987544,430.65581034886
"Uganda",227.967060423135,367.375304534212,540.796106389324,302.288268689987,489.866286134196
"South Africa",72.863939397364,107.688507458071,192.451437542319,94.8733071113734,148.151519038687
"Zambia",199.30277715021,327.955840282728,484.437092239546,264.538922248929,439.749196571952
"Zimbabwe",136.810703322289,139.895254709931,242.52821935337,187.019843173086,196.188407474023
"United Arab Emirates",10.3183517245518,34.6077909297403,57.1132141989382,11.7440623643587,39.6803392779875
"Djibouti",86.9284328777883,248.110263904284,418.779485359699,121.586872139396,352.453439646649
"Algeria",39.7160793279485,118.076727106737,158.833574131641,44.7104285100814,141.779827179629
"Egypt",52.9491700681298,166.203754355329,233.919628855558,65.2227321445945,211.80436066626
"Iraq",80.8269217230686,159.581468088586,231.179280965814,95.3957192430157,196.085291311369
"Jordan",43.0409218564281,110.143223592535,145.687500405867,48.7157586991902,127.266613154851
"Comoros",161.041581214316,306.133260271965,440.00328217684,205.293909056545,394.188467077819
"Kuwait",14.0112398742247,34.6847634525899,50.6082156775375,15.8848884713088,39.9431869752674
"Lebanon",14.5510296180808,57.0461572664131,75.6035567486993,16.3919924309451,66.2707687143209
"Libya",15.8823037181695,79.2115538867211,118.17623453673,18.3118393278065,93.1460933847374
"Morocco",40.6858202792572,124.889811431493,169.727826695208,47.4815470341528,153.21948626806
"Mauritania",162.272517250895,296.398608840042,464.939653154733,235.990932820967,433.514090186793
"Oman",17.8241658418108,106.748160766906,163.976501093314,20.3866489971594,130.885107997525
"Palestinian Territory",61.8801277376052,153.100493560279,205.723919979648,71.0903914166536,180.446188192583
"Qatar",10.9801530951855,50.0118976843846,73.4665260884066,12.5282994549396,57.5766718773105
"Saudi Arabia",18.0326686580965,99.5680161726762,153.421489374522,20.0614374197291,116.51272364233
"Sudan",151.755131667962,280.480962521354,464.235031699904,212.589106755803,400.245193558864
"Somalia",286.937744658175,421.047956240381,628.237460773549,408.293991498548,571.748177169255
"Tunisia",19.2628455931959,76.1315626578497,94.895546917324,20.2104531295958,84.8472881468307
"Yemen ",133.123491188346,357.532446655623,500.821651020371,165.063689079672,451.58481255647
"Afghanistan",233.512635217345,433.06781543701,583.210466210476,297.158101988821,541.559588818389
"Australia",4.34296558503271,12.3946979682153,19.3421156284639,4.98696511620418,14.9475957810038
"Azerbaijan",64.670609869628,168.458480495902,210.190152422435,73.7919197372369,202.330032618412
"Bangladesh",84.7209859501575,241.782722439511,348.273045700012,104.305922511719,317.20876209954
"Bhutan",71.531225772467,213.39004340056,355.344008529086,86.2061791519182,305.486550273215
"China",24.5309176091549,75.2499318947723,100.118500910025,27.7561851802547,91.5215503460002
"Hong Kong",1.04605887762117,4.53692368127657,8.00887879531247,1.49909802390866,6.10901772375577
"Indonesia",50.1483801927181,124.839469270033,182.254606851227,59.5603320512841,158.16677540205
"India",108.272169976664,227.522233638979,330.883813820479,134.435584852505,298.957687295762
"Islamic Republic of Iran",24.353915670953,98.6566594172418,145.138788436214,27.7699792607436,120.269582438949
"Japan",1.91429917636587,5.79094951828253,11.0631286668472,2.48119321141193,7.90561252899257
"Kyrgyzstan",58.2496805879104,163.105818525367,205.375901693008,65.7476836286146,190.636183750892
"Cambodia",85.9355900503758,246.725724604343,376.865587082028,97.6562070669952,312.056836229279
"Democratic People's Republic of Korea",32.5859046782631,99.4085853646871,152.786830667661,39.6650598661959,130.993152830579
"Republic of Korea",2.08151621076749,14.8138536723765,24.7124061778043,2.47857961964645,18.830363028739
"Kazakhstan",39.0160858019671,107.612559866898,143.924095085224,44.6535786981084,127.799540828697
