country,iso,survey_year,mim20,mim45,mom45,mum20,mum45
Belgium,BEL,2009,23.09326932,23.56848559,28.83041855,23.09326932,23.56848559
Bulgaria,BGR,2004,1.552259038,2.78378358,11.0840075,2.122081471,2.78378358
Belarus,BLR,2017,1.534731645,1.965539909,4.415358948,2.257827917,1.965539909
Germany,DEU,2005,2.265003256,3.335654654,5.689789142,2.265003256,3.335654654
Estonia,EST,2004,10.30966815,15.96413438,43.34797308,14.87354586,25.07644616
Georgia,GEO,2006,21.81158204,40.26570279,68.96335494,25.63876518,49.96294478
Hungary,HUN,2005,4.650637304,10.58803267,29.26278042,4.650637304,12.11654444
Lithuania,LTU,2006,0.543077248,7.013974919,30.1494943,1.180973881,7.013974919
Romania,ROU,2005,2.151845701,1.903843301,21.94255959,2.593134241,11.57100978
Russia,RUS,2004,7.066462964,4.134672112,24.21736546,8.403361369,10.04134663
