"country","mim15-19kc","mim20-24kc","mim25-29kc","mim30-34kc","mim35-39kc","mim40-44kc","mim45-49kc","mom15-19kc","mom20-24kc","mom25-29kc","mom30-34kc","mom35-39kc","mom40-44kc","mom45-49kc","mum15-19kc","mum20-24kc","mum25-29kc","mum30-34kc","mum35-39kc","mum40-44kc","mum45-49kc","mim20-44kc_old","mim45-49kc_old","mom45-49kc_old","mum20-44kc_old","mum45-49kc_old"
"Afghanistan",64.679605705988,101.685300879027,171.076357886215,255.603776417591,336.590631198069,398.317458622824,439.495348081768,69.2760131196381,123.913362759831,224.07688941168,346.940737315973,464.31729541654,551.995440986482,607.050251213665,69.2760131196381,122.407239160996,215.167506246176,325.463366451589,427.818587057873,502.13910068462,548.25088654578,252.654705000745,439.495348081768,607.050251213665,318.599159920251,548.25088654578
"Albania",8.46513786099329,10.6856665055575,16.6060702631156,26.0437469930076,39.4815101207817,56.0608705628183,74.2629922720323,9.397684580263,13.4862083890901,21.7615452553276,33.9685406804124,52.2036286839939,76.5589881539625,105.571061682922,9.397684580263,13.3492712493403,20.9037418111888,31.6252518907021,46.8603473501086,65.9729674013641,87.5071786979122,29.7755728890561,74.2629922720323,105.571061682922,35.7423159405408,87.5071786979122
"Algeria",23.8627039508959,29.0726214362551,39.5487533487218,54.3669092506243,73.0340734773477,97.1995047569716,130.160133657324,24.4114625221887,31.4549330361254,44.7240960028072,64.1622570059643,90.7943205645147,128.454846800863,182.675775939825,24.4114625221887,31.3307412342437,43.8270448448572,61.4792211158024,84.3687308326314,114.833690932432,156.912876723083,58.6443724539841,130.160133657324,182.675775939825,67.1678857919934,156.912876723083
"Angola",90.7876951705792,151.806472514992,250.11641814632,355.031229128377,440.814898557144,494.8188452856,515.762999117642,97.8152974757659,186.256163415504,327.074955828406,476.674609980538,595.212146099257,664.738438022625,688.255757467689,97.8152974757659,183.84003079301,314.553160339348,450.676340593609,556.553776437608,616.914571225323,635.009536147409,338.517572726487,515.762999117642,688.255757467689,424.50757587778,635.009536147409
"Antigua and Barbuda",6.38117620673868,8.59508734422522,12.518390558031,18.0982216024049,25.2359633446343,34.5027347917382,46.5399409547091,6.85800786427945,10.4147838254946,15.9973712920183,23.9007588002044,34.5507794970428,49.063097610445,68.3653513875056,6.85800786427945,10.2700124374207,15.2065537394071,21.7384080885143,29.5780821992101,39.2609257303468,51.5096229857285,19.7900795282067,46.5399409547091,68.3653513875056,23.2107964389798,51.5096229857285
"Argentina",12.2246008705625,15.9173738411241,21.749128299076,29.6157708198548,39.3621878918538,50.2805471752604,61.9521258810046,12.6504981180659,17.6834690083924,25.4422525427038,36.3241486092229,51.3788901776978,70.9803044565265,94.8054032044591,12.6504981180659,17.5350499122715,24.5860294376378,33.8610266223304,45.3316206838011,58.2256765278357,72.0203587467889,31.3850016054338,61.9521258810046,94.8054032044591,35.9078806367753,72.0203587467889
"Armenia",12.184858171549,16.9001231654044,27.5668926493519,42.0216097345829,59.2454141248256,80.1036091892096,99.1913889529717,12.7025015401391,19.1367418761395,32.3813297078512,49.9215328984537,72.1014228277258,102.108105562133,132.404959635399,12.7025015401391,19.0184200993973,31.5527735770255,47.5610266126676,66.7042998805914,91.6130680000498,115.379896554211,45.1675297726748,99.1913889529717,132.404959635399,51.2899176339463,115.379896554211
"Aruba",14.9588609366724,18.0040700477433,23.6613688272452,30.5996889750205,36.3168259984323,39.9796249634117,43.2870493995283,15.4141876791698,19.8254752472292,27.4322377679628,37.2328286553982,46.8306433535755,55.5811318049903,65.8074871376747,15.4141876791698,19.6818406252893,26.5781276362667,34.9240497260139,41.9484945460055,46.5910520982404,50.7234159886392,29.7123157623706,43.2870493995283,65.8074871376747,33.9447129263631,50.7234159886392
"Australia",3.42538960877363,3.99559094655482,5.15477614997088,6.99047522316098,9.3560098578312,11.7562777529525,14.3557168981907,3.53416616059112,4.43414228343004,6.03260959702361,8.59890549460014,12.3940785125042,17.3785974019224,24.3930963251767,3.53416616059112,4.39886116914778,5.83601133864011,8.05600357965379,10.9881498205879,14.0474449948904,17.3286611441507,7.45062598609409,14.3557168981907,24.3930963251767,8.66529418058399,17.3286611441507
"Austria",3.35373351123654,3.67852748176596,4.52819183631758,5.93417358504178,7.67432269907737,9.78019664013008,12.6217484060376,3.45232695587147,4.06991563804455,5.3131148924658,7.39509780524751,10.4616345051227,15.1607214403232,22.4039191822664,3.45232695587147,4.04288016294355,5.14762262022819,6.89018007446757,9.06990611718676,11.6941473517874,15.0885010645767,6.31908244846655,12.6217484060376,22.4039191822664,7.36894726532269,15.0885010645767
