"country","iso","survey_year","variable","kc_mean","surv_mean","surv_lb95","surv_ub95","ok95"
"Austria","AUT",2009,"mim20",7.06707977551907,26.8026190575377,18.51032297514,35.0949151399354,FALSE
"Austria","AUT",2009,"mim45",18.2264093889876,41.6284614468233,-8.12838016029009,91.3853030539367,TRUE
"Austria","AUT",2009,"mom45",30.8019789004024,41.6284614468233,-8.12838016029009,91.3853030539367,TRUE
"Austria","AUT",2009,"mum20",8.27955595117903,26.8026190575377,18.51032297514,35.0949151399354,FALSE
"Austria","AUT",2009,"mum45",21.5187842872342,41.6284614468233,-8.12838016029009,91.3853030539367,TRUE
"Belgium","BEL",2009,"mim20",7.48930164283106,23.0932693220113,13.9080479932416,32.2784906507809,FALSE
"Belgium","BEL",2009,"mim45",18.6730650171564,23.5684855929009,8.22777363428185,38.9091975515199,TRUE
"Belgium","BEL",2009,"mom45",30.8829424862086,28.8304185548759,11.899997832385,45.7608392773668,TRUE
"Belgium","BEL",2009,"mum20",8.89752609442831,23.0932693220113,13.9080479932416,32.2784906507809,FALSE
"Belgium","BEL",2009,"mum45",22.0346787984365,23.5684855929009,8.22777363428185,38.9091975515199,TRUE
"Bulgaria","BGR",2004,"mim20",26.6763075157866,1.55225903815188,0.1876407802748,2.91687729602895,FALSE
"Bulgaria","BGR",2004,"mim45",43.6806276810946,2.783783580144,-2.67182549932685,8.23939265961485,FALSE
"Bulgaria","BGR",2004,"mom45",76.0176121318629,11.0840075028488,0.266577770950197,21.9014372347473,FALSE
"Bulgaria","BGR",2004,"mum20",32.7852469399155,2.12208147067096,0.546046936096977,3.69811600524494,FALSE
"Bulgaria","BGR",2004,"mum45",53.434175750677,2.783783580144,-2.67182549932685,8.23939265961485,FALSE
"Belarus","BLR",2017,"mim20",9.06947628308376,1.53473164546776,-0.624179844142504,3.69364313507801,FALSE
"Belarus","BLR",2017,"mim45",27.6075638642086,1.96553990905539,-1.88910224864952,5.82018206676029,FALSE
"Belarus","BLR",2017,"mom45",49.1151319936231,4.41535894812741,-1.73722233149987,10.5679402277547,FALSE
"Belarus","BLR",2017,"mum20",11.1127828255406,2.25782791669969,-0.127623155711341,4.64327898911072,FALSE
"Belarus","BLR",2017,"mum45",33.5356320229893,1.96553990905539,-1.88910224864952,5.82018206676029,FALSE
"Germany","DEU",2005,"mim20",7.49091877647892,2.26500325645892,-0.062029387810796,4.59203590072863,FALSE
"Germany","DEU",2005,"mim45",20.7895014371581,3.33565465366437,-1.65476540919887,8.32607471652761,FALSE
"Germany","DEU",2005,"mom45",33.8866702374741,5.68978914201413,-0.29808324397265,11.6776615280009,FALSE
"Germany","DEU",2005,"mum20",8.86454782779054,2.26500325645892,-0.062029387810796,4.59203590072863,FALSE
"Germany","DEU",2005,"mum45",24.6927136426918,3.33565465366437,-1.65476540919887,8.32607471652761,FALSE
"Estonia","EST",2004,"mim20",23.5352958321579,10.3096681513753,5.27938699753626,15.3399493052144,FALSE
"Estonia","EST",2004,"mim45",46.0856153984204,15.964134377645,4.2193836864444,27.7088850688456,FALSE
"Estonia","EST",2004,"mom45",84.0087760221272,43.347973083044,24.2626655457236,62.4332806203644,FALSE
"Estonia","EST",2004,"mum20",28.1753276623095,14.8735458623382,8.83535738126313,20.9117343434133,FALSE
"Estonia","EST",2004,"mum45",56.0229679317795,25.0764461586376,10.4278055640857,39.7250867531895,FALSE
"Georgia","GEO",2006,"mim20",67.1035844413951,21.8115820357189,14.9968531687935,28.6263109026444,FALSE
"Georgia","GEO",2006,"mim45",112.635094098046,40.2657027926137,23.3342140750483,57.1971915101791,FALSE
"Georgia","GEO",2006,"mom45",139.293118505532,68.9633549428615,47.132766412777,90.793943472946,FALSE
"Georgia","GEO",2006,"mum20",74.4615404601337,25.6387651810878,18.2774480203755,33.0000823418001,FALSE
"Georgia","GEO",2006,"mum45",120.265856718013,49.962944779909,31.1761795285627,68.7497100312552,FALSE
"Hungary","HUN",2005,"mim20",17.9961651659578,4.65063730371617,1.60610525298797,7.69516935444438,FALSE
"Hungary","HUN",2005,"mim45",46.8280625202926,10.5880326662578,1.81668072837421,19.3593846041413,FALSE
"Hungary","HUN",2005,"mom45",65.9440859502295,29.262780416674,15.1120800117289,43.4134808216192,FALSE
"Hungary","HUN",2005,"mum20",20.5121664731981,4.65063730371617,1.60610525298797,7.69516935444438,FALSE
"Hungary","HUN",2005,"mum45",51.9208405227929,12.1165444408521,2.85999615518887,21.3730927265154,FALSE
"Lithuania","LTU",2006,"mim20",20.3055823665478,0.543077247558407,-0.521491857251305,1.60764635236812,FALSE
"Lithuania","LTU",2006,"mim45",38.8600154215782,7.01397491944601,-0.942604332757786,14.9705541716498,FALSE
"Lithuania","LTU",2006,"mom45",71.6227836194051,30.1494942987203,14.4727178903354,45.8262707071051,FALSE
"Lithuania","LTU",2006,"mum20",24.2784421137791,1.18097388092799,-0.460772803291151,2.82272056514714,FALSE
"Lithuania","LTU",2006,"mum45",47.4124039414737,7.01397491944601,-0.942604332757786,14.9705541716498,FALSE
"Romania","ROU",2005,"mim20",35.9972468686323,2.1518457008399,0.263074077654664,4.04061732402514,FALSE
"Romania","ROU",2005,"mim45",65.5107870187204,1.90384330093192,-1.82808714994106,5.63577375180489,FALSE
"Romania","ROU",2005,"mom45",107.73577723944,21.9425595937284,8.97211652630159,34.9130026611553,FALSE
"Romania","ROU",2005,"mum20",42.5722262373254,2.59313424136546,0.516076191623612,4.67019229110731,FALSE
"Romania","ROU",2005,"mum45",82.6704643785832,11.5710097773503,2.34053038612969,20.8014891685709,FALSE
"Russia","RUS",2004,"mim20",36.427323370689,7.06646296428001,3.39218764074564,10.7407382878144,FALSE
"Russia","RUS",2004,"mim45",56.7171608259253,4.13467211187095,-0.0387964754344789,8.30814069917637,FALSE
"Russia","RUS",2004,"mom45",107.134620150638,24.2173654572612,13.2575003772778,35.1772305372446,FALSE
"Russia","RUS",2004,"mum20",42.8335984805368,8.40336136897283,4.42261732217631,12.3841054157694,FALSE
"Russia","RUS",2004,"mum45",67.9084572335502,10.0413466342637,3.20737930725312,16.8753139612743,FALSE
