"iso","year","Measure","value","Source"
"AFG",1995,"mOM",NA,"KC model"
"AFG",1996,"mOM",688.294800259382,"KC model"
"AFG",1997,"mOM",687.27441350015,"KC model"
"AFG",1998,"mOM",684.852503965163,"KC model"
"AFG",1999,"mOM",683.654149637024,"KC model"
"AFG",2000,"mOM",682.023185512147,"KC model"
"AFG",2001,"mOM",679.961153386955,"KC model"
"AFG",2002,"mOM",677.480117852124,"KC model"
"AFG",2003,"mOM",674.580308455516,"KC model"
"AFG",2004,"mOM",671.239751855877,"KC model"
"AFG",2005,"mOM",667.466220982131,"KC model"
"AFG",2006,"mOM",663.274845761921,"KC model"
"AFG",2007,"mOM",658.682181069956,"KC model"
"AFG",2008,"mOM",653.701778453604,"KC model"
"AFG",2009,"mOM",648.320268161114,"KC model"
"AFG",2010,"mOM",642.549915606672,"KC model"
"AFG",2011,"mOM",636.398422140481,"KC model"
"AFG",2012,"mOM",629.866385485335,"KC model"
"AFG",2013,"mOM",622.935011647565,"KC model"
"AFG",2014,"mOM",615.599796804366,"KC model"
"AFG",2015,"mOM",607.842086412441,"KC model"
"AFG",2016,"mOM",599.643897142546,"KC model"
"AFG",2017,"mOM",590.988479436732,"KC model"
"AFG",2018,"mOM",581.83760077318,"KC model"
"AFG",2019,"mOM",572.188744815324,"KC model"
"AFG",2020,"mOM",562.005323390472,"KC model"
"AFG",2021,"mOM",551.225163030524,"KC model"
"AFG",2022,"mOM",539.770628969534,"KC model"
"AFG",2023,"mOM",527.577579394325,"KC model"
"AFG",2024,"mOM",514.633549013409,"KC model"
"AFG",2025,"mOM",500.937753959619,"KC model"
"AFG",2026,"mOM",486.485085645395,"KC model"
"AFG",2027,"mOM",471.286950368107,"KC model"
"AFG",2028,"mOM",455.379395337729,"KC model"
"AFG",2029,"mOM",438.993821104805,"KC model"
"AFG",2030,"mOM",422.434843598005,"KC model"
"AFG",2031,"mOM",405.8414853324,"KC model"
"AFG",2032,"mOM",389.362016500799,"KC model"
"AFG",2033,"mOM",373.145923129695,"KC model"
"AFG",2034,"mOM",357.266315305791,"KC model"
"AFG",2035,"mOM",341.685433235172,"KC model"
"AFG",2036,"mOM",326.415779859179,"KC model"
"AFG",2037,"mOM",311.458160044623,"KC model"
"AFG",2038,"mOM",296.800522096293,"KC model"
"AFG",2039,"mOM",282.462901537041,"KC model"
"AFG",2040,"mOM",268.747914046583,"KC model"
"AFG",2041,"mOM",255.667573042486,"KC model"
"AFG",2042,"mOM",243.224016235097,"KC model"
"AFG",2043,"mOM",231.4135273392,"KC model"
"AFG",2044,"mOM",220.235876069053,"KC model"
"AFG",2045,"mOM",209.68767808596,"KC model"
"AFG",2046,"mOM",211.710623342274,"KC model"
"AFG",2047,"mOM",201.760954253444,"KC model"
"AFG",2048,"mOM",203.665723803648,"KC model"
"AFG",2049,"mOM",NA,"KC model"
"ALB",1995,"mOM",NA,"KC model"
"ALB",1996,"mOM",245.961770229637,"KC model"
"ALB",1997,"mOM",233.223688057251,"KC model"
"ALB",1998,"mOM",235.037860651914,"KC model"
"ALB",1999,"mOM",223.406753945321,"KC model"
"ALB",2000,"mOM",212.966365504522,"KC model"
"ALB",2001,"mOM",203.684059100674,"KC model"
"ALB",2002,"mOM",195.4409725021,"KC model"
"ALB",2003,"mOM",187.967713824131,"KC model"
"ALB",2004,"mOM",180.899623172397,"KC model"
"ALB",2005,"mOM",174.016347085031,"KC model"
"ALB",2006,"mOM",167.128943065279,"KC model"
"ALB",2007,"mOM",160.141084996431,"KC model"
"ALB",2008,"mOM",153.074745031937,"KC model"
"ALB",2009,"mOM",146.083242390241,"KC model"
"ALB",2010,"mOM",139.271830410672,"KC model"
"ALB",2011,"mOM",132.747254544844,"KC model"
"ALB",2012,"mOM",126.589229684341,"KC model"
"ALB",2013,"mOM",120.793584009067,"KC model"
"ALB",2014,"mOM",115.219970848209,"KC model"
"ALB",2015,"mOM",109.812486711282,"KC model"
"ALB",2016,"mOM",104.523843111847,"KC model"
"ALB",2017,"mOM",99.3130983188187,"KC model"
"ALB",2018,"mOM",94.1792674955973,"KC model"
"ALB",2019,"mOM",89.1395454875179,"KC model"
"ALB",2020,"mOM",84.2232476027034,"KC model"
"ALB",2021,"mOM",79.4542612345963,"KC model"
"ALB",2022,"mOM",74.8479323242256,"KC model"
"ALB",2023,"mOM",70.4223438441276,"KC model"
"ALB",2024,"mOM",66.1923772859674,"KC model"
"ALB",2025,"mOM",62.167912301751,"KC model"
"ALB",2026,"mOM",58.3637299945859,"KC model"
"ALB",2027,"mOM",54.8027041204263,"KC model"
"ALB",2028,"mOM",51.511938052676,"KC model"
"ALB",2029,"mOM",48.5111454926608,"KC model"
"ALB",2030,"mOM",45.8087564978081,"KC model"
"ALB",2031,"mOM",43.4011109809641,"KC model"
"ALB",2032,"mOM",41.2773154794073,"KC model"
"ALB",2033,"mOM",39.4160032945563,"KC model"
"ALB",2034,"mOM",37.7679236044078,"KC model"
"ALB",2035,"mOM",36.2883916511832,"KC model"
"ALB",2036,"mOM",34.9364923485011,"KC model"
"ALB",2037,"mOM",33.6789395901253,"KC model"
"ALB",2038,"mOM",32.4868388243254,"KC model"
"ALB",2039,"mOM",31.3483648811515,"KC model"
"ALB",2040,"mOM",30.2674732337124,"KC model"
"ALB",2041,"mOM",29.2544154001176,"KC model"
"ALB",2042,"mOM",28.312736124282,"KC model"
"ALB",2043,"mOM",27.4402331596622,"KC model"
"ALB",2044,"mOM",26.6284362313143,"KC model"
"ALB",2045,"mOM",25.8677701987191,"KC model"
"ALB",2046,"mOM",26.313614994825,"KC model"
"ALB",2047,"mOM",25.578229589127,"KC model"
"ALB",2048,"mOM",26.0180743971092,"KC model"
"ALB",2049,"mOM",NA,"KC model"
"DZA",1995,"mOM",NA,"KC model"
"DZA",1996,"mOM",578.445345755475,"KC model"
"DZA",1997,"mOM",557.536460869182,"KC model"
"DZA",1998,"mOM",558.503573250261,"KC model"
"DZA",1999,"mOM",536.576642871547,"KC model"
"DZA",2000,"mOM",513.449194871958,"KC model"
"DZA",2001,"mOM",489.148854119663,"KC model"
"DZA",2002,"mOM",463.850463381718,"KC model"
"DZA",2003,"mOM",437.772826295322,"KC model"
"DZA",2004,"mOM",411.134249058576,"KC model"
"DZA",2005,"mOM",384.201034661501,"KC model"
"DZA",2006,"mOM",357.257744580825,"KC model"
"DZA",2007,"mOM",330.572492686612,"KC model"
"DZA",2008,"mOM",304.558436416616,"KC model"
"DZA",2009,"mOM",280.281368689605,"KC model"
"DZA",2010,"mOM",258.05929925288,"KC model"
"DZA",2011,"mOM",238.09121390276,"KC model"
"DZA",2012,"mOM",220.46084684463,"KC model"
"DZA",2013,"mOM",205.160375336993,"KC model"
"DZA",2014,"mOM",191.562917958992,"KC model"
"DZA",2015,"mOM",179.480907345215,"KC model"
"DZA",2016,"mOM",168.759045884069,"KC model"
"DZA",2017,"mOM",159.261297780812,"KC model"
"DZA",2018,"mOM",150.862723692652,"KC model"
"DZA",2019,"mOM",143.329987546544,"KC model"
"DZA",2020,"mOM",136.53344366876,"KC model"
"DZA",2021,"mOM",130.388693641087,"KC model"
"DZA",2022,"mOM",124.835353614556,"KC model"
"DZA",2023,"mOM",119.824883406662,"KC model"
"DZA",2024,"mOM",115.316036553688,"KC model"
"DZA",2025,"mOM",111.27323367893,"KC model"
"DZA",2026,"mOM",107.66505174507,"KC model"
"DZA",2027,"mOM",104.450394116999,"KC model"
"DZA",2028,"mOM",101.564636742531,"KC model"
"DZA",2029,"mOM",98.919411813187,"KC model"
"DZA",2030,"mOM",96.4394650138234,"KC model"
"DZA",2031,"mOM",94.0727221444048,"KC model"
"DZA",2032,"mOM",91.7713092042455,"KC model"
"DZA",2033,"mOM",89.501145553862,"KC model"
"DZA",2034,"mOM",87.2221151353587,"KC model"
"DZA",2035,"mOM",84.8997416793834,"KC model"
"DZA",2036,"mOM",82.5346628078593,"KC model"
"DZA",2037,"mOM",80.1279539470212,"KC model"
"DZA",2038,"mOM",77.680670065312,"KC model"
"DZA",2039,"mOM",75.2057036433071,"KC model"
"DZA",2040,"mOM",72.7126331712731,"KC model"
"DZA",2041,"mOM",70.2239234856726,"KC model"
"DZA",2042,"mOM",67.7612762448759,"KC model"
"DZA",2043,"mOM",65.3448176828091,"KC model"
"DZA",2044,"mOM",62.9911904350373,"KC model"
"DZA",2045,"mOM",60.7243794410744,"KC model"
"DZA",2046,"mOM",61.7428841560964,"KC model"
"DZA",2047,"mOM",59.5362944603451,"KC model"
"DZA",2048,"mOM",60.4934714937136,"KC model"
"DZA",2049,"mOM",NA,"KC model"
"AGO",1995,"mOM",NA,"KC model"
"AGO",1996,"mOM",708.128613254105,"KC model"
"AGO",1997,"mOM",708.476594381051,"KC model"
"AGO",1998,"mOM",704.513191457733,"KC model"
"AGO",1999,"mOM",704.854219761062,"KC model"
"AGO",2000,"mOM",705.10672832013,"KC model"
"AGO",2001,"mOM",705.260182751698,"KC model"
"AGO",2002,"mOM",705.315706319161,"KC model"
"AGO",2003,"mOM",705.270423102174,"KC model"
"AGO",2004,"mOM",705.135076772835,"KC model"
